"window_id","start_year","end_year","years","N","districts","cases","M6_DIC","M6_WAIC","sewerage_IRR","sewerage_CrI_lower","sewerage_CrI_upper","foreign_IRR","foreign_CrI_lower","foreign_CrI_upper"
"W1",2011,2024,14,3122,223,1202,4196.35947054156,4198.65973723001,0.98643055148695,0.978341585639567,0.994557040463408,1.00617728075593,1.00019565997651,1.01218795222971
"W2",2012,2024,13,2899,223,1083,3803.79982091037,3800.53960824174,0.986396510415886,0.977895011519162,0.99493246095549,1.00518667295382,0.999084179407353,1.01132624132603
"W3",2013,2024,12,2676,223,977,3461.18041287977,3437.85166634168,0.985771957959635,0.976910449754494,0.994680206160027,1.00554747867675,0.999210685756238,1.01193522824312
"W4",2014,2024,11,2453,223,838,3061.1339116597,3035.70204109073,0.984212582672642,0.97514334988695,0.993344382171419,1.00669234243824,1.0003507183134,1.01309524346806
"W5",2015,2024,10,2230,223,616,2508.96186731591,2512.36056945953,0.983840811869455,0.974929607552107,0.992837746054563,1.0075823760382,1.00122106134125,1.01402475999703
