"K","N","districts","cases","DIC","WAIC","raw_residual_Morans_I","raw_residual_Morans_p","pearson_residual_Morans_I","pearson_residual_Morans_p","sewerage_IRR","sewerage_CrI_lower","sewerage_CrI_upper","foreign_IRR","foreign_CrI_lower","foreign_CrI_upper","elevated_posterior_spatial_RR_n","gyeongnam_count","note"
2,3122,223,1202,4194.40132280733,4200.1655821256,0.0256785305482654,0.293890265643549,-0.0743367843383332,0.889866035920971,0.985382761862627,0.977111772049156,0.993661888955284,1.00544018066307,0.99942595599614,1.01147770457107,14,10,"KNN sensitivity regenerated on the Gunwi-recovered 223-district panel."
3,3122,223,1202,4196.50438887942,4197.37051855101,-0.0338786101406794,0.735094278251,-0.063388127621978,0.892049199724686,0.985468814506214,0.977239195681255,0.993713595168786,1.00537532644896,0.999390871067128,1.01139239251902,14,11,"KNN sensitivity regenerated on the Gunwi-recovered 223-district panel."
4,3122,223,1202,4201.75971249499,4203.41743393893,-0.0229384710904458,0.675988036753714,-0.0897599491806575,0.979923320909246,0.985652295353716,0.977482743784482,0.993839080204817,1.0058124133972,0.999828177606384,1.01182312092243,16,12,"KNN sensitivity regenerated on the Gunwi-recovered 223-district panel."
5,3122,223,1202,4199.5634427042,4203.38482075158,-0.023730168257932,0.701190667765281,-0.0805422961660534,0.979105938860278,0.985426239383718,0.977214445618706,0.99364608340657,1.00560954164214,0.999519658758925,1.0117154892385,17,12,"KNN sensitivity regenerated on the Gunwi-recovered 223-district panel."
6,3122,223,1202,4198.26612810997,4203.61030577422,-0.014844700972374,0.622587676502705,-0.0782607295787196,0.985229011083176,0.98520144893546,0.976922508212124,0.993499015340408,1.00631554405621,1.00017548013369,1.01248588729238,14,10,"KNN sensitivity regenerated on the Gunwi-recovered 223-district panel."
7,3122,223,1202,4205.17193524218,4205.6391560843,-0.00435943562375534,0.498108270312933,-0.0840309488967035,0.99440382442245,0.984557428465378,0.97628986677499,0.99284763404956,1.00625147560038,1.00007823690944,1.01245253288545,15,9,"KNN sensitivity regenerated on the Gunwi-recovered 223-district panel."
