"component","posterior_variance","CrI_lower","CrI_upper"
"Spatial structured (Besag-York-Mollie)",0.239968826262208,0.134710678540922,0.402369629464706
"Spatial unstructured (IID)",0.00223435586031162,0.0000148542195004564,0.00777175018993647
"Temporal (RW1)",0.189989176091298,0.0794998984877109,0.388465159056714
"District-year (IID)",0.144887557350496,0.00896693552761573,0.57051066556366
"Negative binomial overdispersion",0.438089726745437,0.138811658709957,1.17628342000621
